Source,Target,weight
Puntadewa,WulanDremi,1.0
Sengkuni,Bagaspati,1.0
Werkudara,Citrasena,2.0
Puntadewa,WulanDrema,1.0
Sengkuni,Pulungsari,1.0
Banowati,Dhandhang,1.0
Durna,Togog,2.0
Saragupita,Petruk,2.0
Dewaki,Maerah,4.0
Bagong,Suparta,1.0
Petruk,Gendara,1.0
Raksasa,Wisnu,1.0
Anoman,SuksmaLanggeng,2.0
Bismaka,Narada,3.0
Kamajaya,Arjuna,2.0
Sugriwa,Gatotkaca,1.0
Guru,Pulungsari,2.0
Bagong,Dhadhungawuk,1.0
Durga,Wisanggeni,5.0
RaraIreng,Petruk,3.0
Sangkara,Arimbi,1.0
Dewaki,Narada,1.0
SitiSendari,Abimanyu,2.0
Kurandhayaksa,Saragupita,1.0
Salya,NgembatLandeyan,1.0
Guru,Durna,6.0
Destarastra,Gendari,2.0
Baladewa,Satrugna,1.0
Kamajaya,Nakula,1.0
Baladewa,Setyaboma,1.0
Gatotkaca,Resi,1.0
Gareng,Kunti,3.0
Bagong,Kamajaya,1.0
Panyarikan,Ramayadi,1.0
Rukmini,Brahma,1.0
Durga,Lion,1.0
Angganjali,Indra,1.0
Gareng,Karna,6.0
Brajadhenta,Mangsahpati,1.0
Semar,Maheswara,1.0
Sengkuni,Durga,4.0
Dewasrani,Banowati,1.0
Puntadewa,NemburNawa,1.0
Durga,Kunti,3.0
Wisnu,Setyaboma,1.0
Udawa,Arjuna,2.0
Karna,Pulungsari,1.0
Satrugna,Anoman,1.0
Bagong,Kartapiyoga,1.0
Gareng,Indra,7.0
TunggulWulung,Narada,1.0
Maerah,JayaBajra,1.0
Banowati,Garuda,2.0
Durga,Yudhistira,1.0
Guru,Prasara,1.0
Bhisma,Gendari,1.0
Bomanarakasura,Nakula,1.0
Gatotkaca,Sri,3.0
Bomanarakasura,Durna,1.0
Sadewa,Kumbakarna,1.0
Maerah,Narada,1.0
Pulungsari,Kartamarma,1.0
Werkudara,Gendari,2.0
Wenang,Antareja,1.0
Panyarikan,Nakula,2.0
Petruk,Dhamdharat,1.0
Kunti,Bhisma,1.0
Setyaki,Antaboga,1.0
Arimbi,Kresna,3.0
Bhisma,Wilawuk,1.0
Antareja,Petruk,7.0
Petruk,Antasena,1.0
Karna,Parasara,1.0
Abiyasa,Bilung,1.0
Kunti,Asmarawati,1.0
LesmanaMandrakumara,Indra,1.0
Yamadipati,Kresna,1.0
Sangkara,Nakula,1.0
Bismaka,Destarastra,1.0
Kanastren,Narada,2.0
TunggulWulung,Kresna,2.0
Durna,Satrugna,1.0
Citrarata,Werkudara,2.0
LesmanaMurdaka,Duryudana,1.0
Rama,Satrugna,1.0
Ugrasena,Abiyasa,1.0
Petruk,Yamadipati,1.0
Soka,Kalika,1.0
Pandu,Baladewa,2.0
Destarastra,Pandu,3.0
Durga,Narada,5.0
Samba,Narada,4.0
Bomanarakasura,Guru,1.0
Maheswara,Brahma,2.0
Semar,Werkudara,26.0
Bayu,Puntadewa,2.0
Indra,Dersanala,2.0
Werkudara,Mangsahpati,3.0
Saragupita,Narada,2.0
Narada,RaraIreng,2.0
Antareja,Puntadewa,8.0
Ugrasena,Destarastra,1.0
Antakawulan,Sadewa,2.0
Karna,Indra,4.0
Wenang,Dersanala,2.0
Bomanarakasura,Sengkuni,1.0
Bisawarna,Setyaki,1.0
Nakula,GagakBaka,1.0
Setyaki,Wisanggeni,2.0
Rukmara,Duryudana,2.0
Pradapa,Werkudara,2.0
Bagong,Garuda,1.0
YudaKalaKresna,Guru,1.0
Durna,Antareja,6.0
Petruk,Narada,7.0
Puntadewa,FakeWerkudara,2.0
Sadewa,Asmarawati,2.0
Sadewa,Puntadewa,30.0
Pragota,Bismaka,1.0
Sadewa,Pulunggana,1.0
Udawa,Anoman,4.0
Bomanarakasura,LesmanaMandrakumara,1.0
Karna,Banowati,10.0
Rukmini,Antaboga,1.0
Gareng,Narada,8.0
Iswara,Kresna,1.0
Udawa,Sadewa,2.0
SitiSendari,Setyaki,1.0
Arjuna,Bhisma,1.0
Antareja,Pulunggana,1.0
Rukmini,Bagong,3.0
Bismaka,Gendara,1.0
LesmanaMandrakumara,Godhayitma,1.0
SuratiMantra,Gorawangsa,3.0
KudaKalaKresna,Kresna,2.0
Werkudara,Nagatatmala,2.0
Kunti,Drestarastra,1.0
YudaKalaKresna,KudaKalaKresna,3.0
Banowati,Sadewa,9.0
Nakula,Padmanaba,1.0
Petruk,Yamawidura,1.0
Kurandhayaksa,Badrahini,1.0
Mangsahpati,Kresna,2.0
Dhandhonwacana,Nakula,1.0
Karna,Bendana,3.0
Hagni,Duryudana,1.0
Pracona,Rudra,1.0
Durna,Soka,1.0
LesmanaMandrakumara,Narada,1.0
Baladewa,Togog,2.0
Durna,Nagagini,3.0
Petruk,Madrim,3.0
Kartamarma,SuksmaLanggeng,1.0
TunggulWulung,Gatotkaca,2.0
Sengkuni,Petruk,14.0
Ugrasena,Salya,2.0
Gatotkaca,Sambuh,1.0
Antaboga,Werkudara,4.0
Durna,Sugriwa,1.0
DewaRuci,Banowati,1.0
Brajadhenta,Durna,2.0
Bagong,KencanaWulan,1.0
Durna,Udawa,4.0
Banowati,Sengkalawati,1.0
Sekipu,Sambuh,1.0
Bisawarna,Nakula,1.0
Maheswara,Nakula,1.0
Sadewa,Antasena,1.0
Togog,Antareja,2.0
Wenang,Duryudana,3.0
Guru,KudaKalaKresna,2.0
Samba,Kresna,16.0
Brajadhenta,Togog,2.0
YudaKothi,Petruk,1.0
Guru,Lion,1.0
Puntadewa,Anoman,10.0
Bisawarna,SitiSendari,1.0
Abiyasa,Gendara,1.0
Surya,Semar,1.0
Kunti,Citrasena,1.0
Bagaspati,Abiyasa,1.0
Kangsa,JayaBajra,1.0
Sengkalawati,WulanDremi,1.0
Dhamdharat,RaraIreng,1.0
Kunti,Bagaspati,1.0
Kamajaya,Brahma,2.0
Sadewa,Bilung,1.0
Arjuna,Sadana,3.0
Sengkalawati,Abimanyu,1.0
Gareng,Durga,4.0
NemburNawa,Banowati,1.0
Sekipu,Nakula,2.0
Jembawati,Narada,2.0
Wisanggeni,Anoman,1.0
Sengkuni,Yamadipati,1.0
Karna,Mandrakeswara,1.0
Durna,Abimanyu,8.0
Arimbi,Sambuh,1.0
