label,degree,weighted degree,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,clustering,triangles,eigencentrality
Pulungsari,35,67.0,0.5680933852140078,0.6198630136986302,1.912940908589437,4,0,0.9243697478991597,550,0.43485172576818787
Puntadewa,106,515.0,0.7849462365591398,0.863013698630137,238.50863194700423,0,0,0.38221024258760106,2127,0.8664182495844409
Rama,27,46.0,0.5509433962264151,0.5924657534246576,0.0,0,0,1.0,351,0.3489600031635937
Ramaparasu,22,34.0,0.5407407407407407,0.5753424657534246,0.0,3,0,1.0,231,0.3144862304047297
Ramayadi,24,32.0,0.5447761194029851,0.5821917808219178,0.0,4,0,1.0,276,0.28507705345507933
Ranu,23,34.0,0.5427509293680297,0.5787671232876712,0.0,6,0,1.0,253,0.2677534087061715
Rara_Ireng,57,111.0,0.6212765957446809,0.6952054794520548,98.14602313302674,5,0,0.5413533834586466,864,0.5028656139442854
Ratmuka,22,30.0,0.5407407407407407,0.5753424657534246,0.0,0,0,1.0,231,0.279089146755977
Rohini,20,27.0,0.5367647058823529,0.5684931506849316,0.0,5,0,1.0,190,0.18065519604753627
Rukmara,23,30.0,0.5427509293680297,0.5787671232876712,0.0,4,0,1.0,253,0.30231504295179434
Rukmini,41,85.0,0.5816733067729084,0.6404109589041096,8.12092927611008,4,0,0.8036585365853659,659,0.4553676452925773
Sadana,33,72.0,0.5637065637065637,0.613013698630137,1.3146131630584796,3,0,0.9412878787878788,497,0.4115811674992533
Sadewa,108,494.0,0.7934782608695652,0.8698630136986302,254.58604128946783,0,0,0.37590861889927313,2172,0.876415897247892
Salya,40,69.0,0.5793650793650794,0.636986301369863,23.64080654171398,5,0,0.6871794871794872,536,0.31574642001690456
Samba,52,179.0,0.6083333333333333,0.678082191780822,20.8383195909845,3,0,0.7141779788838613,947,0.5492834002689095
Saragupita,31,53.0,0.5593869731800766,0.6061643835616438,4.9074698779033135,5,0,0.843010752688172,392,0.2582289023215744
Satrugna,27,30.0,0.5509433962264151,0.5924657534246576,0.0,0,0,1.0,351,0.3489600031635937
Sekipu,24,41.0,0.5447761194029851,0.5821917808219178,0.0,4,0,1.0,276,0.28507705345507917
Semar,138,649.0,0.948051948051948,0.9726027397260274,729.4724864636603,5,0,0.28657569025706126,2709,1.0
Sengkuni,112,471.0,0.8111111111111111,0.8835616438356164,402.0460842738435,6,0,0.34604247104247104,2151,0.8707810524134397
Setyaboma,32,51.0,0.5615384615384615,0.6095890410958904,1.653803733442222,4,0,0.9193548387096774,456,0.3751550601593492
Setyaki,47,134.0,0.5959183673469388,0.660958904109589,13.530674284731179,3,0,0.7650323774283071,827,0.5137856189722572
Siti_Sendari,17,25.0,0.5309090909090909,0.5582191780821918,0.0,3,0,1.0,136,0.22979279869201102
Soka,23,36.0,0.5427509293680297,0.5787671232876712,0.0,6,0,1.0,253,0.27110109029924456
Sri,33,72.0,0.5637065637065637,0.613013698630137,1.3146131630584796,3,0,0.9412878787878788,497,0.41158116749925316
Sugriwa,27,32.0,0.5509433962264151,0.5924657534246576,0.0,0,0,1.0,351,0.3489600031635937
Suparta,24,26.0,0.5447761194029851,0.5821917808219178,0.0,0,0,1.0,276,0.2780797934901148
Surabramadiraja,21,32.0,0.5387453874538746,0.571917808219178,0.0,0,0,1.0,210,0.28764991589263145
Surati_Mantra,20,28.0,0.5367647058823529,0.5684931506849316,0.0,5,0,1.0,190,0.18065519604753624
Surtikanthi,24,29.0,0.5447761194029851,0.5821917808219178,0.0,5,0,1.0,276,0.22028245710460512
Surya,24,27.0,0.5447761194029851,0.5821917808219178,0.0,4,0,1.0,276,0.2850770534550792
Tambrapeta,23,36.0,0.5427509293680297,0.5787671232876712,0.0,6,0,1.0,253,0.2711010902992447
Togog,33,65.0,0.5637065637065637,0.613013698630137,3.1744178478170824,6,0,0.8901515151515151,470,0.3999062673449182
TunggulWulung,22,28.0,0.5407407407407407,0.5753424657534246,0.0,3,0,1.0,231,0.28730099142565224
Udawa,40,83.0,0.5793650793650794,0.636986301369863,7.796369947502281,3,0,0.8128205128205128,634,0.463957752934856
Ugrasena,46,79.0,0.5934959349593496,0.6575342465753424,37.469237914263005,5,0,0.6202898550724638,642,0.34863204197837755
Wenang,48,111.0,0.5983606557377049,0.6643835616438356,15.3021428031812,0,0,0.7455673758865248,841,0.5198624484457056
Werkudara,116,734.0,0.8295454545454546,0.8972602739726028,321.3085872307987,0,0,0.348575712143928,2325,0.9142030607522048
Wibisana,23,34.0,0.5427509293680297,0.5787671232876712,0.0,6,0,1.0,253,0.26775340870617137
Wilawuk,24,45.0,0.5447761194029851,0.5821917808219178,0.0,0,0,1.0,276,0.2780797934901147
Wisanggeni,51,136.0,0.6058091286307054,0.6746575342465754,20.89962013032071,4,0,0.7215686274509804,920,0.5407764549355494
Wisnu,30,47.0,0.5572519083969466,0.6027397260273972,1.150099348781228,3,0,0.9287356321839081,404,0.371829559609622
Wulan_Drema,24,37.0,0.5447761194029851,0.5821917808219178,0.0,6,0,1.0,276,0.3121935477036959
Wulan_Dremi,24,35.0,0.5447761194029851,0.5821917808219178,0.0,6,0,1.0,276,0.31219354770369595
Yamadipati,24,28.0,0.5447761194029851,0.5821917808219178,0.0,3,0,1.0,276,0.3196103771579257
Yamawidura,23,26.0,0.5427509293680297,0.5787671232876712,0.0,5,0,1.0,253,0.19002018988730993
Yuda_Kothi,24,26.0,0.5447761194029851,0.5821917808219178,0.0,5,0,1.0,276,0.2202824571046051
Yudhistira,39,67.0,0.5770750988142292,0.6335616438356164,10.478003734486531,0,0,0.7840755735492577,581,0.42435342007343924
